Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__short_name,license__category,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,copyright,copyright_holder,author
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,"Copyright (c) 1992-1996, 1998-2012 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1648,1652,,,,"Copyright (c) 2012 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1648,1652,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19128,19130,,,,"Copyright (c) 2012 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19128,19130,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20387,20390,,,,"Copyright (c) 1996, 1997, 1998, 1999, 2000, 2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20387,20390,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/configure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20387,20390,,,,,,Gordon Matzigkeit
/adol-c-v2.6.3.tar.gz/configure.ac,file,configure.ac,configure,.ac,23301,2017-01-17,5e8c2374fee0875138dd9cfd8c5ffd728af3e3b1,cb8cd8b28625ad8a67162c2747f1b121,text/plain,ASCII text,Genshi,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
/adol-c-v2.6.3.tar.gz/configure.ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,"Copyright (c) Andrea Walther, Andreas Kowarz",,
/adol-c-v2.6.3.tar.gz/configure.ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,"Andrea Walther, Andreas Kowarz",
/adol-c-v2.6.3.tar.gz/INSTALL,file,INSTALL,INSTALL,,13582,2017-01-17,2d4540867eb4bf4995891c5a5984231dceca4aa0,49d3634ff602d23b0f17bc1895340c3e,text/plain,ASCII text,,False,True,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,
/adol-c-v2.6.3.tar.gz/INSTALL,,,,,,,,,,,,,,,,,,,,,,fsf-free,90.00,FSF Free Software License,Public Domain,Free Software Foundation (FSF),http://www.fsf.org/licensing/licenses/,https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-free,FSFUL,https://spdx.org/licenses/FSFUL,4,5,fsf-free2.RULE,fsf-free,[u'fsf-free'],,,
/adol-c-v2.6.3.tar.gz/INSTALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,"Copyright 1994, 1995, 1996, 1999, 2000, 2001, 2002 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/INSTALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/LICENSE,file,LICENSE,LICENSE,,27604,2017-01-17,efd8c298517f4e24d1dd6791a4fe13b7ddabaf4a,463fa12453af69df087e3e3cea3770f9,text/plain,ASCII text,,False,True,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,
